date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,vix_close
2023-12-12,21018.55078125,21037.900390625,20867.150390625,20906.400390625,244900,78.13,386.4388,299.2083,87.2305,21302.77,20207.15,19111.52,154.6338,12.710000038146973
2023-12-13,20929.75,20950.0,20769.5,20926.349609375,260300,78.47,384.3157,316.2298,68.0859,21359.89,20281.29,19202.68,156.4814,12.069999694824219
2023-12-14,21110.400390625,21210.900390625,21074.44921875,21182.69921875,334400,82.26,398.7221,332.7282,65.9939,21467.18,20356.65,19246.12,165.6292,12.319999694824219
2023-12-15,21287.44921875,21492.30078125,21235.30078125,21456.650390625,508800,85.25,427.319,351.6464,75.6726,21617.76,20441.22,19264.68,175.9129,13.130000114440918
2023-12-18,21434.80078125,21482.80078125,21365.349609375,21418.650390625,249700,83.15,441.8229,369.6817,72.1412,21729.5,20525.56,19321.63,171.7371,13.899999618530273
2023-12-19,21477.650390625,21505.05078125,21337.75,21453.099609375,249800,83.55,450.8994,385.9252,64.9742,21818.69,20613.52,19408.35,171.4202,13.869999885559082
2023-12-20,21543.5,21593.0,21087.349609375,21150.150390625,363900,68.4,428.7053,394.4813,34.2241,21843.03,20681.86,19520.68,195.2938,14.449999809265137
2023-12-21,21033.94921875,21288.349609375,20976.80078125,21255.05078125,277500,70.4,414.7994,398.5449,16.2545,21865.87,20754.02,19642.16,203.5977,13.760000228881836
2023-12-22,21295.849609375,21390.5,21232.44921875,21349.400390625,284700,72.11,406.7038,400.1767,6.5271,21877.73,20831.39,19785.04,200.3444,13.710000038146973
2023-12-26,21365.19921875,21477.150390625,21329.44921875,21441.349609375,219500,73.7,403.0613,400.7536,2.3077,21872.03,20913.72,19955.41,196.5841,14.680000305175781
2023-12-27,21497.650390625,21675.75,21495.80078125,21654.75,256500,76.99,412.6376,403.1304,9.5072,21885.38,21001.97,20118.56,199.2853,15.5600004196167
2023-12-28,21715.0,21801.44921875,21678.0,21778.69921875,393100,78.66,425.3256,407.5694,17.7562,21925.76,21086.08,20246.39,195.5292,15.140000343322754
2023-12-29,21737.650390625,21770.30078125,21676.900390625,21731.400390625,270900,76.39,426.6463,411.3848,15.2615,21924.07,21165.99,20407.91,188.8341,14.5
2024-01-01,21727.75,21834.349609375,21680.849609375,21741.900390625,154000,76.55,423.6565,413.8391,9.8174,21911.88,21239.69,20567.5,186.3103,14.579999923706055
2024-01-02,21751.349609375,21755.599609375,21555.650390625,21665.80078125,263700,72.65,410.4155,413.1544,-2.7389,21933.32,21288.64,20643.96,187.2845,14.579999923706055
2024-01-03,21661.099609375,21677.0,21500.349609375,21517.349609375,311900,65.63,383.5221,407.228,-23.7059,21940.17,21321.75,20703.33,186.5249,14.100000381469727
2024-01-04,21605.80078125,21685.650390625,21564.55078125,21658.599609375,339200,68.73,369.349,399.6522,-30.3032,21965.92,21357.8,20749.68,185.2232,13.329999923706055
2024-01-05,21705.75,21749.599609375,21629.19921875,21710.80078125,309300,69.81,358.1998,391.3617,-33.1619,21985.85,21398.28,20810.71,180.593,12.630000114440918
2024-01-08,21747.599609375,21763.94921875,21492.900390625,21513.0,231500,61.17,329.6036,379.0101,-49.4065,21978.79,21425.46,20872.13,187.0541,13.460000038146973
2024-01-09,21653.599609375,21724.44921875,21517.849609375,21544.849609375,228600,61.98,305.9837,364.4048,-58.4211,21969.95,21452.85,20935.75,188.7966,13.260000228881836
2024-01-10,21529.30078125,21641.849609375,21448.650390625,21618.69921875,217000,63.88,289.8823,349.5003,-59.618,21941.21,21488.46,21035.72,189.1111,12.970000267028809
2024-01-11,21688.0,21726.5,21593.75,21647.19921875,212500,64.61,276.2372,334.8477,-58.6105,21896.38,21524.5,21152.63,185.0853,12.770000457763672
2024-01-12,21773.55078125,21928.25,21715.150390625,21894.55078125,294700,70.26,282.1303,324.3042,-42.1739,21930.49,21560.1,21189.71,191.94,13.100000381469727
2024-01-15,22053.150390625,22115.55078125,21963.55078125,22097.44921875,345500,73.93,299.7179,319.387,-19.669,22029.63,21592.14,21154.64,194.0157,13.789999961853027
2024-01-16,22080.5,22124.150390625,21969.80078125,22032.30078125,292400,70.9,304.8848,316.4865,-11.6017,22093.87,21622.82,21151.77,191.1824,13.569999694824219
2024-01-17,21647.25,21851.5,21550.44921875,21571.94921875,456000,54.06,268.7352,306.9363,-38.201,22093.76,21628.76,21163.76,211.9445,15.079999923706055
2024-01-18,21414.19921875,21539.400390625,21285.55078125,21462.25,387300,50.95,228.5995,291.2689,-62.6694,22060.07,21644.37,21228.66,217.2626,14.069999694824219
2024-01-19,21615.19921875,21670.599609375,21575.0,21622.400390625,343100,55.01,207.3245,274.48,-67.1555,22036.34,21662.73,21289.13,216.626,13.880000114440918
2024-01-23,21716.69921875,21750.25,21192.599609375,21238.80078125,449700,45.33,157.6928,251.1226,-93.4297,22052.96,21657.2,21261.45,240.9849,14.850000381469727
2024-01-24,21185.25,21482.349609375,21137.19921875,21453.94921875,407500,50.58,134.1734,227.7327,-93.5593,22052.18,21657.83,21263.49,248.4253,14.380000114440918
2024-01-25,21454.599609375,21459.0,21247.05078125,21352.599609375,418100,48.23,106.1326,203.4127,-97.2801,22060.05,21642.73,21225.41,245.8198,13.869999885559082
2024-01-29,21433.099609375,21763.25,21429.599609375,21737.599609375,376700,56.5,113.6661,185.4634,-71.7973,22055.57,21640.67,21225.77,257.5934,15.680000305175781
2024-01-30,21775.75,21813.05078125,21501.80078125,21522.099609375,375100,51.54,101.0821,168.5871,-67.505,22046.03,21630.21,21214.39,261.426,16.100000381469727
2024-01-31,21487.25,21741.349609375,21448.849609375,21725.69921875,410600,55.52,106.3126,156.1322,-49.8197,22044.37,21629.4,21214.43,263.6456,16.049999237060547
2024-02-01,21780.650390625,21832.94921875,21658.75,21697.44921875,332500,54.84,106.9454,146.2948,-39.3495,22046.77,21630.98,21215.19,257.2566,14.460000038146973
2024-02-02,21812.75,22126.80078125,21805.55078125,21853.80078125,442800,57.89,118.6949,140.7749,-22.08,22071.39,21647.8,21224.21,269.5491,14.699999809265137
2024-02-05,21921.05078125,21964.30078125,21726.94921875,21771.69921875,440800,55.76,119.9983,136.6195,-16.6212,22080.66,21653.46,21226.26,267.2493,15.619999885559082
2024-02-06,21825.19921875,21951.400390625,21737.55078125,21929.400390625,371000,58.88,132.2321,135.7421,-3.5099,22108.61,21664.39,21220.16,263.435,15.789999961853027
2024-02-07,22045.05078125,22053.30078125,21860.150390625,21930.5,346300,58.9,140.3979,136.6732,3.7246,22138.68,21685.26,21231.85,258.4147,15.510000228881836
2024-02-08,22009.650390625,22011.05078125,21665.30078125,21717.94921875,491100,53.06,128.2399,134.9866,-6.7467,22142.63,21693.92,21245.21,264.6529,15.829999923706055
2024-02-09,21727.0,21804.44921875,21629.900390625,21782.5,349200,54.53,122.4024,132.4697,-10.0674,22151.02,21702.11,21253.2,258.2169,15.449999809265137
2024-02-12,21800.80078125,21831.69921875,21574.75,21616.05078125,287400,50.15,103.1559,126.607,-23.4511,22150.48,21700.55,21250.62,258.1264,16.059999465942383
2024-02-13,21664.30078125,21766.80078125,21543.349609375,21743.25,365800,53.24,97.0481,120.6952,-23.6471,22134.18,21692.98,21251.79,255.6496,15.8100004196167
2024-02-14,21578.150390625,21870.849609375,21530.19921875,21840.05078125,359100,55.5,98.8789,116.3319,-17.453,22085.17,21680.11,21275.06,261.721,15.4399995803833
2024-02-15,21906.55078125,21953.849609375,21794.80078125,21910.75,345400,57.13,104.8263,114.0308,-9.2045,22060.04,21674.04,21288.03,254.3873,15.229999542236328
2024-02-16,22020.30078125,22068.650390625,21968.94921875,22040.69921875,343900,60.03,118.6576,114.9562,3.7014,22113.16,21697.47,21281.79,247.4954,15.220000267028809
2024-02-19,22103.44921875,22186.650390625,22021.05078125,22122.25,0,61.78,134.6473,118.8944,15.7529,22171.55,21730.47,21289.4,241.6457,16.06999969482422
2024-02-20,22099.19921875,22215.599609375,22045.849609375,22196.94921875,295700,63.36,151.5994,125.4354,26.164,22243.38,21759.2,21275.03,236.5103,16.06999969482422
2024-02-21,22248.849609375,22249.400390625,21997.94921875,22055.05078125,364500,58.42,151.8338,130.7151,21.1187,22234.55,21800.01,21365.48,237.5775,15.930000305175781
2024-02-22,22081.55078125,22252.5,21875.25,22217.44921875,343500,62.06,163.2419,137.2204,26.0215,22278.83,21838.19,21397.55,247.5541,15.199999809265137
2024-02-23,22290.0,22297.5,22186.099609375,22212.69921875,226000,61.89,169.9408,143.7645,26.1762,22288.94,21881.19,21473.45,237.8288,14.970000267028809
2024-02-26,22169.19921875,22202.150390625,22075.150390625,22122.05078125,207800,58.58,166.0212,148.2159,17.8054,22315.84,21900.42,21485.0,230.666,15.600000381469727
