date,spot,strike,days_to_expiry,expiry_years,market_iv,surface_iv,call_mkt_price,call_pde_price,call_mispricing,put_mkt_price,put_pde_price,put_mispricing,is_atm
2023-12-13,20926.349609375,21050.0,8,0.021917808219178082,0.1124207263647593,0.112421,97.4,97.72812173325858,-0.3281,152.85,191.410823178057,-38.5608,False
2023-12-13,20926.349609375,21100.0,8,0.021917808219178082,0.11160912042420724,0.111609,78.3,76.74006733542163,1.5599,180.55,220.3515866206494,-39.8016,False
2023-12-13,20926.349609375,21150.0,8,0.021917808219178082,0.10955352878769242,0.109554,60.6,57.14832545359475,3.4517,214.05,250.68866257925404,-36.6387,False
2023-12-13,20926.349609375,21200.0,8,0.021917808219178082,0.1087289228913535,0.108729,46.9,47.211449613273345,-0.3114,251.75,290.68060457935735,-38.9306,False
2023-12-14,21182.69921875,20950.0,7,0.019178082191780823,0.16937311500732963,0.169373,352.85,350.5586877371911,2.2913,24.15,91.75998642797191,-67.61,False
2023-12-14,21182.69921875,21000.0,7,0.019178082191780823,0.16130320686365984,0.161303,310.45,308.30388300009344,2.1461,30.85,99.4428917563701,-68.5929,False
2023-12-14,21182.69921875,21050.0,7,0.019178082191780823,0.15218602779154639,0.152186,268.1,267.8961887646867,0.2038,38.5,108.97290758645704,-70.4729,False
2023-12-14,21182.69921875,21100.0,7,0.019178082191780823,0.14584160664082296,0.145842,230.25,229.92629620316228,0.3237,50.65,120.9407250904211,-70.2907,False
2023-12-14,21182.69921875,21150.0,7,0.019178082191780823,0.13833397883032802,0.138334,192.9,190.0011407995014,2.8989,63.5,130.9532797522501,-67.4533,False
2023-12-14,21182.69921875,21200.0,7,0.019178082191780823,0.13461534077146026,0.134615,162.1,157.82889337131667,4.2711,82.3,148.7187423895547,-66.4187,True
2023-12-14,21182.69921875,21250.0,7,0.019178082191780823,0.1307823095798724,0.130782,133.65,132.86101490735615,0.789,102.85,173.68857399108583,-70.8386,False
2023-12-14,21182.69921875,21300.0,7,0.019178082191780823,0.12819354120467472,0.128194,109.3,109.5990145497739,-0.299,126.15,200.36428369899917,-74.2143,False
2023-12-14,21182.69921875,21350.0,7,0.019178082191780823,0.12479527327575068,0.124795,86.8,85.67673830130356,1.1233,154.7,226.37971751601222,-71.6797,False
2023-12-14,21182.69921875,21400.0,7,0.019178082191780823,0.12136149639960218,0.121361,67.15,62.74002318954291,4.41,187.25,253.3807124697495,-66.1307,False
2023-12-14,21182.69921875,21450.0,7,0.019178082191780823,0.12021106431698932,0.120211,52.55,52.2197449020921,0.3303,219.45,292.7981442477851,-73.3481,False
2023-12-15,21456.650390625,21200.0,13,0.03561643835616438,0.1528089765883963,0.152809,427.65,426.54380087648315,1.1062,69.25,120.87072552779443,-51.6207,False
2023-12-15,21456.650390625,21250.0,13,0.03561643835616438,0.15322502258929752,0.153225,394.8,391.82083171429554,2.9792,79.3,136.03213682616897,-56.7321,False
2023-12-15,21456.650390625,21300.0,13,0.03561643835616438,0.1421923298021257,0.142192,346.15,345.3659796099097,0.784,91.1,139.46166518233775,-48.3617,False
2023-12-15,21456.650390625,21350.0,13,0.03561643835616438,0.1418791659621047,0.141879,314.8,314.75522004617017,0.0448,103.45,158.73528607915358,-55.2853,False
2023-12-15,21456.650390625,21400.0,13,0.03561643835616438,0.13593758166786943,0.135938,276.2,275.1619759077114,1.038,118.65,169.02642240125724,-50.3764,False
2023-12-15,21456.650390625,21450.0,13,0.03561643835616438,0.1321789160187621,0.132179,242.55,238.62140350652368,3.9286,133.35,182.37023046062393,-49.0202,True
2023-12-15,21456.650390625,21500.0,13,0.03561643835616438,0.12902622648801387,0.129026,211.6,209.97594038071117,1.6241,153.0,203.60914779537214,-50.6091,False
2023-12-15,21456.650390625,21550.0,13,0.03561643835616438,0.12697420587936273,0.126974,184.3,184.29831367584265,0.0017,175.1,227.8159015510601,-52.7159,False
2023-12-15,21456.650390625,21600.0,13,0.03561643835616438,0.12412824496636422,0.124128,157.7,157.4374346796294,0.2626,198.15,250.83940301540386,-52.6894,False
2023-12-15,21456.650390625,21650.0,13,0.03561643835616438,0.12051848211586026,0.120518,132.0,129.50062567376068,2.4994,221.55,272.7869744700855,-51.237,False
2023-12-15,21456.650390625,21700.0,13,0.03561643835616438,0.12027254766390719,0.120273,113.6,111.42289749414795,2.1771,251.8,304.59362675103563,-52.7936,False
2023-12-18,21418.650390625,21150.0,10,0.0273972602739726,0.14118842103255438,0.141188,387.9,387.1803138895932,0.7197,60.95,80.89905658391012,-19.9491,False
2023-12-18,21418.650390625,21200.0,10,0.0273972602739726,0.13612269560792392,0.136123,346.25,342.7342036734304,3.5158,70.8,86.36398450797479,-15.564,False
2023-12-18,21418.650390625,21250.0,10,0.0273972602739726,0.13915001593842563,0.13915,316.15,314.8218301050835,1.3282,83.4,108.36264907985966,-24.9626,False
2023-12-18,21418.650390625,21300.0,10,0.0273972602739726,0.13311198872899566,0.133112,276.15,276.1030648851806,0.0469,97.55,119.55492200019512,-22.0049,False
2023-12-18,21418.650390625,21350.0,10,0.0273972602739726,0.129574753354585,0.129575,241.05,240.27647594994275,0.7735,113.75,133.6393712051943,-19.8894,False
2023-12-18,21418.650390625,21400.0,10,0.0273972602739726,0.12769983173474211,0.1277,210.15,206.467235433225,3.6828,132.0,149.7411688287114,-17.7412,True
2023-12-18,21418.650390625,21450.0,10,0.0273972602739726,0.1263505958662036,0.126351,182.1,179.39447832339494,2.7055,152.35,172.57944985911257,-20.2294,False
2023-12-18,21418.650390625,21500.0,10,0.0273972602739726,0.12457102995174878,0.124571,155.65,155.41035222587277,0.2396,174.25,198.50636190182718,-24.2564,False
2023-12-18,21418.650390625,21550.0,10,0.0273972602739726,0.12359959886147538,0.1236,132.6,132.6468799448388,-0.0469,203.4,225.6539277610311,-22.2539,False
2023-12-18,21418.650390625,21600.0,10,0.0273972602739726,0.122023678833383,0.122024,111.0,109.12596717078351,1.874,231.55,252.04405312720363,-20.4941,False
2023-12-18,21418.650390625,21650.0,10,0.0273972602739726,0.12172396903217635,0.121724,93.35,90.16945713858533,3.1805,264.35,282.9985812352554,-18.6486,False
2023-12-19,21453.099609375,21200.0,9,0.024657534246575342,0.15352427088771498,0.153524,379.65,378.28188437288213,1.3681,48.85,91.2314072759085,-42.3814,False
2023-12-19,21453.099609375,21250.0,9,0.024657534246575342,0.1462679358454118,0.146268,336.5,333.20955457404034,3.2904,58.1,96.07900467584093,-37.979,False
2023-12-19,21453.099609375,21300.0,9,0.024657534246575342,0.14474308470612818,0.144743,301.5,300.78436811405163,0.7156,69.5,113.57374541461715,-44.0737,False
2023-12-19,21453.099609375,21350.0,9,0.024657534246575342,0.14149525747394895,0.141495,266.05,266.01471603382595,0.0353,83.3,128.7240205331651,-45.424,False
2023-12-19,21453.099609375,21400.0,9,0.024657534246575342,0.1370223138599681,0.137022,230.75,229.32824735025957,1.4218,98.9,141.95747904836935,-43.0575,False
2023-12-19,21453.099609375,21450.0,9,0.024657534246575342,0.13338660185985,0.133387,198.45,193.3661065376246,5.0839,116.8,155.91526543450146,-39.1153,True
2023-12-19,21453.099609375,21500.0,9,0.024657534246575342,0.12955779100705508,0.129558,168.0,166.23804768925982,1.762,136.9,178.7071337849077,-41.8071,False
2023-12-19,21453.099609375,21550.0,9,0.024657534246575342,0.126708501760482,0.126709,141.15,141.24532360218927,-0.0953,160.45,203.6343368966019,-43.1843,False
2023-12-19,21453.099609375,21600.0,9,0.024657534246575342,0.1250405119614103,0.125041,118.25,117.96539217697264,0.2846,187.3,230.27433267015317,-42.9743,False
2023-12-19,21453.099609375,21650.0,9,0.024657534246575342,0.12505757277492938,0.125058,99.85,96.9226434127416,2.9274,217.7,259.15151110469327,-41.4515,False
2023-12-19,21453.099609375,21700.0,9,0.024657534246575342,0.1240125599657088,0.124013,82.35,80.31637528798186,2.0336,248.85,292.46517017870076,-43.6152,False
2023-12-20,21150.150390625,20900.0,8,0.021917808219178082,0.16306843403482835,0.163068,372.35,371.0397953703841,1.3102,52.4,91.13526204389966,-38.7353,False
2023-12-20,21150.150390625,20950.0,8,0.021917808219178082,0.16052135079001975,0.160521,335.15,331.9850799759856,3.1649,62.1,102.00936448992957,-39.9094,False
2023-12-20,21150.150390625,21000.0,8,0.021917808219178082,0.1580180092491836,0.158018,299.55,298.88581174452884,0.6642,72.5,118.8389140988966,-46.3389,False
2023-12-20,21150.150390625,21050.0,8,0.021917808219178082,0.14534462077798802,0.145345,253.45,253.41533454314404,0.0347,86.95,123.29725473794215,-36.3473,False
2023-12-20,21150.150390625,21100.0,8,0.021917808219178082,0.14100544509750043,0.141005,218.8,217.24038214596436,1.5596,103.7,137.05112018119345,-33.3511,False
2023-12-20,21150.150390625,21150.0,8,0.021917808219178082,0.13847191015366625,0.138472,188.4,182.9822213706877,5.4178,120.8,152.72177724633858,-31.9218,True
2023-12-20,21150.150390625,21200.0,8,0.021917808219178082,0.1380744181387418,0.138074,162.9,161.3804038479803,1.5196,140.25,181.04877756405835,-40.7988,False
2023-12-20,21150.150390625,21250.0,8,0.021917808219178082,0.13614140802657732,0.136141,137.8,137.94131545511758,-0.1413,159.05,207.53850701162935,-48.4885,False
2023-12-20,21150.150390625,21300.0,8,0.021917808219178082,0.1340220832623664,0.134022,114.85,114.39712454510189,0.4529,188.8,233.92313394203094,-45.1231,False
2023-12-20,21150.150390625,21350.0,8,0.021917808219178082,0.13560217292973684,0.135602,98.6,95.30850528284822,3.2915,215.25,264.76333252021266,-49.5133,False
2023-12-20,21150.150390625,21400.0,8,0.021917808219178082,0.13068356250890967,0.130684,77.2,75.63712460206389,1.5629,249.45,295.0207696798567,-45.5708,False
2023-12-21,21255.05078125,21000.0,7,0.019178082191780823,0.18962105640769306,0.189621,389.65,388.5581019090517,1.0919,40.0,107.34554816532105,-67.3455,False
2023-12-21,21255.05078125,21050.0,7,0.019178082191780823,0.1825602263708599,0.18256,348.5,345.19618305382596,3.3038,46.6,113.92133937559524,-67.3213,False
2023-12-21,21255.05078125,21100.0,7,0.019178082191780823,0.17436878046004717,0.174369,307.25,306.46213740834924,0.7879,58.6,125.12500379560561,-66.525,False
2023-12-21,21255.05078125,21150.0,7,0.019178082191780823,0.16887566050423983,0.168876,270.3,270.29893182801857,0.0011,69.45,138.8995082807654,-69.4495,False
2023-12-21,21255.05078125,21200.0,7,0.019178082191780823,0.16237112517310523,0.162371,233.8,232.59304872086085,1.207,82.8,151.13133523910008,-68.3313,False
2023-12-21,21255.05078125,21250.0,7,0.019178082191780823,0.15664632546745713,0.156646,200.0,195.34162687893618,4.6584,100.5,163.81762346267251,-63.3176,True
2023-12-21,21255.05078125,21300.0,7,0.019178082191780823,0.15148021874696255,0.15148,168.9,167.12684464695462,1.7732,117.85,185.54055129617421,-67.6906,False
2023-12-21,21255.05078125,21350.0,7,0.019178082191780823,0.14616918964534145,0.146169,139.9,139.96786852864756,-0.0679,138.2,208.3192852433591,-70.1193,False
2023-12-21,21255.05078125,21400.0,7,0.019178082191780823,0.14272404388178198,0.142724,115.5,115.22782965402283,0.2722,163.85,233.51695643422633,-69.667,False
2023-12-21,21255.05078125,21450.0,7,0.019178082191780823,0.13843763161272984,0.138438,92.7,89.79361605187866,2.9064,191.05,258.020452897574,-66.9705,False
2023-12-21,21255.05078125,21500.0,7,0.019178082191780823,0.13411081791108634,0.134111,72.55,70.545846165128,2.0042,221.35,288.71039307631156,-67.3604,False
2023-12-22,21349.400390625,21100.0,13,0.03561643835616438,0.17323890227362126,0.173239,450.8,449.590389569212,1.2096,86.6,151.39855329942193,-64.7986,False
2023-12-22,21349.400390625,21150.0,13,0.03561643835616438,0.17008687077947404,0.170087,413.8,411.4127537281409,2.3872,97.2,163.10529791889917,-65.9053,False
2023-12-22,21349.400390625,21200.0,13,0.03561643835616438,0.16874519106372754,0.168745,380.7,380.1809855666739,0.519,109.5,181.75791021798838,-72.2579,False
2023-12-22,21349.400390625,21250.0,13,0.03561643835616438,0.1638665511933478,0.163867,343.4,343.34620744171315,0.0538,123.3,194.80751255358393,-71.5075,False
2023-12-22,21349.400390625,21300.0,13,0.03561643835616438,0.16178703890997723,0.161787,311.75,310.67634874141845,1.0737,138.5,212.02203431385212,-73.522,False
2023-12-22,21349.400390625,21350.0,13,0.03561643835616438,0.1576884814564433,0.157688,278.3,274.67522488323056,3.6248,155.05,225.9052909162203,-70.8553,True
2023-12-22,21349.400390625,21400.0,13,0.03561643835616438,0.15367097358153678,0.153671,246.45,245.41241615698507,1.0376,174.25,246.5268626505325,-72.2769,False
2023-12-22,21349.400390625,21450.0,13,0.03561643835616438,0.14972206310722602,0.149722,216.3,216.3502924419192,-0.0503,195.9,267.3491193960265,-71.4491,False
2023-12-22,21349.400390625,21500.0,13,0.03561643835616438,0.147909126727016,0.147909,191.25,190.78228835812774,0.4677,218.2,291.6654957727833,-73.4655,False
2023-12-22,21349.400390625,21550.0,13,0.03561643835616438,0.14516409726674318,0.145164,166.45,163.79374554019222,2.6563,242.55,314.56133341541056,-72.0113,False
2023-12-22,21349.400390625,21600.0,13,0.03561643835616438,0.14228377267340553,0.142284,143.25,141.74182440950798,1.5082,269.1,342.3937927452821,-73.2938,False
2023-12-26,21441.349609375,21200.0,9,0.024657534246575342,0.2011555930246616,0.201156,428.25,426.64389179491496,1.6061,76.6,151.34341469794924,-74.7434,False
2023-12-26,21441.349609375,21250.0,9,0.024657534246575342,0.19655956954964107,0.19656,390.55,388.5271258508671,2.0229,88.25,163.14657595267113,-74.8966,False
2023-12-26,21441.349609375,21300.0,9,0.024657534246575342,0.18960378690362,0.189604,350.95,350.6129229560477,0.3371,98.5,175.15230025661313,-76.6523,False
2023-12-26,21441.349609375,21350.0,9,0.024657534246575342,0.18239381044244304,0.182394,312.15,312.03697126190616,0.113,113.1,186.49627576124186,-73.3963,False
2023-12-26,21441.349609375,21400.0,9,0.024657534246575342,0.17911079144889316,0.179111,279.85,278.3411819936733,1.5088,130.05,202.72041369178237,-72.6704,False
2023-12-26,21441.349609375,21450.0,9,0.024657534246575342,0.1761679019333824,0.176168,249.55,246.19127213055185,3.3587,146.4,220.49043102742394,-74.0904,True
2023-12-26,21441.349609375,21500.0,9,0.024657534246575342,0.1687643870102793,0.168764,214.9,214.0595179435649,0.8405,166.4,238.27860403921215,-71.8786,False
2023-12-26,21441.349609375,21550.0,9,0.024657534246575342,0.16619923456705477,0.166199,188.5,188.59619219067255,-0.0962,185.1,262.7352054850811,-77.6352,False
2023-12-26,21441.349609375,21600.0,9,0.024657534246575342,0.1599588856695772,0.159959,159.1,158.38559645076816,0.7144,209.7,282.4445369439485,-72.7445,False
2023-12-26,21441.349609375,21650.0,9,0.024657534246575342,0.16011435690691045,0.160114,140.0,136.68479256262873,3.3152,237.6,310.66366025458206,-73.0637,False
2023-12-26,21441.349609375,21700.0,9,0.024657534246575342,0.15365778869840732,0.153658,114.45,113.21760911929269,1.2324,264.65,337.1164040100169,-72.4664,False
2023-12-27,21654.75,21400.0,8,0.021917808219178082,0.19889920466248287,0.198899,420.5,419.26257406078685,1.2374,62.8,134.04660976357445,-71.2466,False
2023-12-27,21654.75,21450.0,8,0.021917808219178082,0.19235387187591288,0.192354,380.1,377.2826690555664,2.8173,73.45,141.9955225987823,-68.5455,False
2023-12-27,21654.75,21500.0,8,0.021917808219178082,0.18971391717374197,0.189714,345.5,344.8564175479173,0.6436,84.15,159.49808893156137,-75.3481,False
2023-12-27,21654.75,21550.0,8,0.021917808219178082,0.18122276682763694,0.181223,305.05,305.03155045745984,0.0184,98.3,169.60203968153183,-71.302,False
2023-12-27,21654.75,21600.0,8,0.021917808219178082,0.17751891951725782,0.177519,271.9,270.82000978959,1.08,111.8,185.3193168540875,-73.5193,False
2023-12-27,21654.75,21650.0,8,0.021917808219178082,0.17330114857571133,0.173301,239.7,235.72021627508926,3.9798,127.85,200.14834118001176,-72.2983,True
2023-12-27,21654.75,21700.0,8,0.021917808219178082,0.16758463006227048,0.167585,207.3,205.7758139414029,1.5242,145.75,220.132756686755,-74.3828,False
2023-12-27,21654.75,21750.0,8,0.021917808219178082,0.16330887066006805,0.163309,178.6,178.61283647183254,-0.0128,165.9,242.89859705760978,-76.9986,False
2023-12-27,21654.75,21800.0,8,0.021917808219178082,0.15987856243228138,0.159879,152.95,152.67229058584172,0.2777,190.1,266.8868690120496,-76.7869,False
2023-12-27,21654.75,21850.0,8,0.021917808219178082,0.15660756235369835,0.156608,129.55,127.06978809805561,2.4802,215.35,291.2131843646803,-75.8632,False
2023-12-27,21654.75,21900.0,8,0.021917808219178082,0.15336980515992174,0.15337,108.3,106.07591236114624,2.2241,244.0,320.14812646820394,-76.1481,False
2023-12-28,21778.69921875,21550.0,7,0.019178082191780823,0.16686619789579354,0.166866,352.85,349.78625239298174,3.0637,59.8,94.24007186966325,-34.4401,False
2023-12-28,21778.69921875,21600.0,7,0.019178082191780823,0.1630153984951376,0.163015,315.0,313.30455334682216,1.6954,71.0,107.69608288898714,-36.6961,False
2023-12-28,21778.69921875,21650.0,7,0.019178082191780823,0.16195553593534934,0.161956,281.85,281.7561327208775,0.0939,85.05,126.08537232853313,-41.0354,False
2023-12-28,21778.69921875,21700.0,7,0.019178082191780823,0.1565210378735323,0.156521,245.45,244.98746685364767,0.4625,100.45,139.25441652679913,-38.8044,False
2023-12-28,21778.69921875,21750.0,7,0.019178082191780823,0.15451175631150443,0.154512,214.9,211.9529752627351,2.947,118.5,156.15763500137817,-37.6576,False
2023-12-28,21778.69921875,21800.0,7,0.019178082191780823,0.15025003003231285,0.15025,183.7,180.12806305460106,3.5719,138.7,174.27043285873944,-35.5704,True
2023-12-28,21778.69921875,21850.0,7,0.019178082191780823,0.14755770102084884,0.147558,156.55,155.92442248948777,0.6256,162.6,200.00450235911478,-37.4045,False
2023-12-28,21778.69921875,21900.0,7,0.019178082191780823,0.14522147819439568,0.145221,132.1,132.28994206389544,-0.1899,187.3,226.3077319990137,-39.0077,False
2023-12-28,21778.69921875,21950.0,7,0.019178082191780823,0.14412578401793916,0.144126,111.4,110.21490370641163,1.1851,214.1,254.17040370702347,-40.0704,False
2023-12-28,21778.69921875,22000.0,7,0.019178082191780823,0.14125721133138666,0.141257,91.0,86.48604876485012,4.514,246.05,280.3792588309484,-34.3293,False
2023-12-28,21778.69921875,22050.0,7,0.019178082191780823,0.1402811575963429,0.140281,74.95,74.18296958447837,0.767,284.35,318.0138897160722,-33.6639,False
2023-12-29,21731.400390625,21500.0,13,0.03561643835616438,0.1550917819039739,0.155092,417.2,414.79961487106766,2.4004,101.55,133.6828222857256,-32.1328,False
2023-12-29,21731.400390625,21550.0,13,0.03561643835616438,0.15789300572242088,0.157893,388.95,387.4088430789961,1.5412,114.75,156.17643095420817,-41.4264,False
2023-12-29,21731.400390625,21600.0,13,0.03561643835616438,0.1577151490798581,0.157715,357.75,357.5815798444662,0.1684,126.75,176.23354818023952,-49.4835,False
2023-12-29,21731.400390625,21650.0,13,0.03561643835616438,0.15654795066761062,0.156548,326.45,326.1604205716106,0.2896,144.7,194.69676936794417,-49.9968,False
2023-12-29,21731.400390625,21700.0,13,0.03561643835616438,0.1495972670124714,0.149597,287.25,285.21355961793773,2.0364,163.3,203.63428887482678,-40.3343,False
2023-12-29,21731.400390625,21750.0,13,0.03561643835616438,0.148555316690345,0.148555,259.05,256.3148467841581,2.7352,183.0,224.6199565016019,-41.62,True
2023-12-29,21731.400390625,21800.0,13,0.03561643835616438,0.14603932341935566,0.146039,230.05,229.51835804399047,0.5316,202.8,247.70784822199136,-44.9078,False
2023-12-29,21731.400390625,21850.0,13,0.03561643835616438,0.14415896714332704,0.144159,203.75,203.82248273964808,-0.0725,228.0,271.8963533782056,-43.8964,False
2023-12-29,21731.400390625,21900.0,13,0.03561643835616438,0.14329752695545514,0.143298,180.8,179.821246816039,0.9788,252.3,297.77949791515357,-45.4795,False
2023-12-29,21731.400390625,21950.0,13,0.03561643835616438,0.14054140239984883,0.140541,156.55,152.8170015351019,3.733,278.65,320.65963309477905,-42.0096,False
2023-12-29,21731.400390625,22000.0,13,0.03561643835616438,0.13981580432034185,0.139816,137.25,136.34564021313656,0.9044,314.7,354.0726522333772,-39.3727,False
2024-01-01,21741.900390625,21500.0,10,0.0273972602739726,0.18032915106266817,0.180329,421.2,419.3611862128961,1.8388,80.7,139.20719588884396,-58.5072,False
2024-01-01,21741.900390625,21550.0,10,0.0273972602739726,0.17595930096031637,0.175959,383.0,380.9542438233422,2.0458,92.5,150.71129163952767,-58.2113,False
2024-01-01,21741.900390625,21600.0,10,0.0273972602739726,0.15064732531317523,0.150647,317.45,317.09755669601657,0.3524,106.15,136.76564265244036,-30.6156,False
2024-01-01,21741.900390625,21650.0,10,0.0273972602739726,0.15328181436982544,0.153282,290.75,290.59686534280826,0.1531,123.45,160.17598943946348,-36.726,False
2024-01-01,21741.900390625,21700.0,10,0.0273972602739726,0.15303433159186938,0.153034,261.9,260.17258344369367,1.7274,140.35,179.66274568058955,-39.3127,False
2024-01-01,21741.900390625,21750.0,10,0.0273972602739726,0.15056402644146144,0.150564,231.65,227.7875892942912,3.8624,157.75,197.18878967141694,-39.4388,True
2024-01-01,21741.900390625,21800.0,10,0.0273972602739726,0.15419735053959366,0.154197,211.95,211.01021047290124,0.9398,176.1,230.32244899026955,-54.2224,False
2024-01-01,21741.900390625,21850.0,10,0.0273972602739726,0.15000371403466556,0.150004,182.85,182.95742499965672,-0.1074,190.95,252.1807016572588,-61.2307,False
2024-01-01,21741.900390625,21900.0,10,0.0273972602739726,0.14955166402688974,0.149552,160.95,160.31567222878775,0.6343,215.65,279.4499870266199,-63.8,False
2024-01-01,21741.900390625,21950.0,10,0.0273972602739726,0.14861810364005423,0.148618,140.2,137.02186530142447,3.1781,237.8,306.06721823949584,-68.2672,False
